date,team1,team2,winner,Year,Team,MatchPlayed,MatchWon,Matchlost,,
4/7/2010,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2018,RCB,14,6,8,,
4/7/2010,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,2018,SHD,17,10,7,,
4/8/2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,2019,RSP,0,0,0,,
4/9/2010,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2019,CSK,17,10,7,,
4/10/2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers,2019,DCH,0,0,0,,
4/10/2010,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2019,DCA,0,0,0,,
4/11/2010,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,2019,DDV,0,0,0,,
4/11/2010,Rajasthan Royals,Mumbai Indians,Mumbai Indians,2019,GLS,0,0,0,,
4/12/2010,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,2019,KXP,14,6,8,,
4/13/2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians,2019,KTK,0,0,0,,
4/13/2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2019,KKR,14,6,8,,
4/14/2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,2019,MID,16,11,5,,
4/15/2010,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,2019,PWS,0,0,0,,
4/16/2010,Kings XI Punjab,Deccan Chargers,Deccan Chargers,2019,RRS,14,5,9,,
4/17/2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2019,RCB,14,5,9,,
4/17/2010,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2019,SHD,15,6,9,,
4/18/2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,2020,RSP,0,0,0,,
4/18/2010,Delhi Daredevils,Deccan Chargers,Deccan Chargers,2020,CSK,14,6,8,,
4/19/2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,2020,DCH,0,0,0,,
4/21/2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,2020,DCA,0,0,0,,
4/22/2010,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,2020,DDV,0,0,0,,
4/24/2010,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,2020,GLS,0,0,0,,
4/25/2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,2020,KXP,14,6,8,,
4/8/2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2020,KTK,0,0,0,,
4/9/2011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2020,KKR,14,7,7,,
